date,open,high,low,close,volume,symbol
30-04-2025,661.3141231,661.3141231,635.6348848,638.7580566,19485917,TATAMOTORS
02-05-2025,635.5357842,655.7122861,630.1322307,643.5667114,11488717,TATAMOTORS
05-05-2025,657.2986734,660.9671447,650.2591612,655.9105835,8868484,TATAMOTORS
06-05-2025,655.9105501,657.5465087,639.9973817,642.6743774,12718175,TATAMOTORS
07-05-2025,636.527235,676.6819905,635.6845051,674.5007324,30390515,TATAMOTORS
08-05-2025,694.03282,698.4944596,671.4271917,677.0289917,29315465,TATAMOTORS
09-05-2025,661.8098929,704.9390769,660.3226796,702.4603882,40183276,TATAMOTORS
12-05-2025,721.7941532,725.7600551,705.1373771,714.6555176,20133616,TATAMOTORS
13-05-2025,714.6554792,719.8111636,697.2550975,701.6671753,16125700,TATAMOTORS
14-05-2025,684.1180431,701.9646007,680.1521414,692.9917603,31505402,TATAMOTORS
15-05-2025,692.7934693,723.5787699,690.2156574,721.8932495,28634074,TATAMOTORS
16-05-2025,723.7770854,735.674791,719.3650075,724.4711304,20631512,TATAMOTORS
19-05-2025,725.7600608,731.8080371,721.7941588,723.2813721,10460217,TATAMOTORS
20-05-2025,723.7770819,731.4610166,710.8879009,712.7717285,14472506,TATAMOTORS
21-05-2025,712.8708734,723.281366,711.879398,720.6043701,8998596,TATAMOTORS
22-05-2025,718.8197343,718.8197343,704.5920852,711.3341064,10046820,TATAMOTORS
23-05-2025,712.622996,715.6469841,708.904963,712.1272583,7915166,TATAMOTORS
26-05-2025,715.8452555,731.7088623,715.0520873,722.7855835,13017400,TATAMOTORS
27-05-2025,722.785595,723.1325872,709.103246,710.3425903,12223125,TATAMOTORS
28-05-2025,713.8623466,715.8452976,710.0947519,711.829834,7568961,TATAMOTORS
29-05-2025,718.3239757,722.4881848,713.8623361,718.2744141,8838921,TATAMOTORS
30-05-2025,718.2743927,722.3394178,706.4262491,713.3665771,14533919,TATAMOTORS
02-06-2025,710.8879274,712.8708784,701.3697869,705.5339355,9712446,TATAMOTORS
03-06-2025,708.9049511,712.2263697,696.3132007,697.8499756,9161608,TATAMOTORS
04-06-2025,701.7999878,715.4500122,698.4000244,709.1500244,11287991,TATAMOTORS
05-06-2025,712.7999878,714.4500122,704,710.1500244,10203331,TATAMOTORS
06-06-2025,710,715.9000244,701.2000122,711,11975812,TATAMOTORS
09-06-2025,715,726,713.0999756,717.7999878,9900412,TATAMOTORS
10-06-2025,721,734.75,715.3499756,732.25,19151889,TATAMOTORS
11-06-2025,734.9500122,744,730.1500244,736.4000244,12626754,TATAMOTORS
12-06-2025,737,737.7000122,711.25,715.3499756,12585149,TATAMOTORS
13-06-2025,700,714.9500122,698.2999878,712.0499878,10516625,TATAMOTORS
16-06-2025,711,714,672.9500122,686.6500244,31246328,TATAMOTORS
17-06-2025,686.0999756,686.1500244,672,674.75,17112867,TATAMOTORS
18-06-2025,671.8499756,679.3499756,668,670.25,12556088,TATAMOTORS
19-06-2025,670.25,676.2999878,666.6500244,672.2999878,10895470,TATAMOTORS
20-06-2025,673.4000244,678.7999878,670.0999756,676.2000122,11393470,TATAMOTORS
23-06-2025,670,676,666.0999756,671.25,10265601,TATAMOTORS
24-06-2025,678,686.5,672,673.6500244,15359947,TATAMOTORS
25-06-2025,676,679,673.4500122,674.5,10456015,TATAMOTORS
